,boat_type,target_time,target_rate,SR: 16,SR: 20,SR: 24,SR: 28,SR: 32,SR: 36,SR: 40
0,m1x,7:14.6,34,2:09.5,2:03.0,1:57.8,1:53.7,1:50.2,1:47.2,1:44.6
1,m2-,7:03.9,35,2:07.2,2:00.8,1:55.7,1:51.6,1:48.2,1:45.3,1:42.7
2,m2x,6:39.7,36,2:00.7,1:54.6,1:49.8,1:46.0,1:42.7,1:39.9,1:37.5
3,m4+,6:32.5,35,1:57.8,1:51.8,1:47.2,1:43.4,1:40.2,1:37.5,1:35.1
4,m4-,6:17.2,37,1:54.7,1:48.9,1:44.3,1:40.6,1:37.5,1:34.9,1:32.6
5,m4x,6:06.3,37,1:51.4,1:45.7,1:41.3,1:37.7,1:34.7,1:32.2,1:29.9
6,m8+,5:52.8,38,1:47.9,1:42.4,1:38.2,1:34.7,1:31.8,1:29.3,1:27.2
7,w1x,8:08.7,32,2:23.6,2:16.3,2:10.7,2:06.0,2:02.2,1:58.9,1:56.0
8,w2-,7:51.6,33,2:19.6,2:12.5,2:07.0,2:02.5,1:58.7,1:55.5,1:52.7
9,w2x,7:24.8,34,2:12.6,2:05.9,2:00.6,1:56.4,1:52.8,1:49.7,1:47.1
10,w4x+,7:02.2,34,2:05.8,1:59.5,1:54.5,1:50.4,1:47.1,1:44.2,1:41.6
11,w4x,6:51.4,35,2:03.5,1:57.2,1:52.3,1:48.3,1:45.0,1:42.2,1:39.7
12,w4+,7:17.6,33,2:09.5,2:03.0,1:57.8,1:53.7,1:50.2,1:47.2,1:44.6
